cities, urban, city, towns, planning, world, plan, suburbs, buildings, inhabitants, town, medieval, land, metropolitan, live, transportation, industrial, streets, development, century
john, adams, kennedy, repr, tyler, quincy, locke, dewey, donne, sir, robert, calhoun, returned, secretary, july, served, brunswick, steinbeck, son, smith
ft, bridge, bridges, built, spans, span, concrete, suspension, pont, arches, traffic, arch, foundations, cables, steel, completed, railway, diameter, designed, building
gods, mythology, society, myth, rituals, deities, study, sacred, cultures, cycle, el, primitive, zeus, birth, religion, ritual, goddess, western, meaning, forms
mammals, teeth, species, living, mammalian, families, animals, million, america, front, body, skull, limbs, adapted, pleistocene, bats, feet, reptiles, marsupials, extinct
kansas, cattle, wheat, transportation, western, county, land, plains, hills, city, wichita, major, central, sunflower, half, river, average, settlement, irrigation, southeastern
library, volumes, enrollment, university, college, arts, degrees, colleges, undergraduate, liberal, school, graduate, sciences, coeducational, campus, libraries, grant, bachelor, schools, engineering
antarctic, ice, antarctica, continent, land, ft, sea, south, ross, mountains, surface, peninsula, whale, pole, seal, whales, coast, shelf, species, sq
sexual, sex, male, female, sperm, egg, girls, boys, cycle, reproductive, development, begin, parents, usually, females, sexuality, emotional, differences, males, penis
brazil, argentina, latin, largest, brazilian, amazon, america, coffee, rio, major, sao, indians, country, ore, tropical, highlands, portuguese, janeiro, rainfall, paraguay
temperature, temperatures, gas, climate, thermal, zero, degrees, constant, absolute, climatic, changes, rate, low, below, effect, cooling, conditions, sun, gases, climates
tax, taxes, income, taxation, burden, individual, revenue, principle, services, finance, federal, example, hours, equity, local, levy, imposed, excess, efficiency, public
space, satellites, satellite, launch, program, programs, shuttle, military, communications, missions, launched, soviet, station, orbit, research, launching, nations, scientific, applications, facilities
lead, mercury, ore, deposits, metals, metal, compounds, tin, uranium, zinc, poisoning, pipes, ores, toxic, weight, highly, density, antimony, chloride, acid
snakes, snake, prey, family, body, venom, skin, species, reptiles, eyes, front, jaw, upper, scales, pit, specialized, movement, skull, fangs, mouth
denmark, norway, danish, norwegian, scandinavian, scandinavia, iceland, jutland, country, sweden, greenland, northern, trade, copenhagen, land, products, age, union, king, petroleum
fire, fires, forest, equipment, materials, flammable, departments, chaparral, dry, prevention, building, burning, deaths, fighters, fighting, standards, local, effective, hotels, liquids
maryland, baltimore, bay, chesapeake, eastern, delaware, shore, western, counties, potomac, transportation, port, located, washington, atlantic, coastal, nation, line, plain, mi
japan, japanese, tokyo, honshu, emperor, tokugawa, culture, military, hokkaido, chinese, imperial, kyoto, shogun, korea, located, land, urban, trade, including, prime
health, medical, services, environmental, research, programs, effects, alcohol, public, percent, control, drinking, department, alcoholism, administration, human, disease, safety, diseases, responsible
islands, pacific, zealand, indonesia, island, western, philippines, coral, guinea, volcanic, australia, japan, include, lie, darwin, solomon, sumatra, line, nations, reefs
ohio, erie, lake, sq, east, coal, cincinnati, land, industrial, cleveland, plateau, plain, river, county, natural, western, agricultural, resources, counties, public
copper, ores, metal, silver, containing, metals, zinc, mining, resistance, ore, oxide, sulfide, sulfate, alloys, tin, brass, chile, zaire, gold, acid
earth, geology, study, crust, geologic, satellites, satellite, physical, mantle, origin, moon, continents, fossils, surface, gravity, composition, geological, studies, changes, processes
museum, collection, museums, paintings, collections, art, contains, gallery, arts, european, major, national, houses, include, sculpture, objects, devoted, fine, drawings, noted
lizards, reptiles, turtles, bones, skin, scales, skull, ventricle, lizard, amphibians, shell, egg, lower, turtle, upper, ear, left, bony, plates, reptile
alabama, mobile, civil, montgomery, birmingham, university, black, white, rivers, cotton, manufacturing, rights, gulf, billion, economy, region, governor, public, bay, sq
road, roads, highway, surface, built, construction, traffic, stone, motor, highways, asphalt, constructed, concrete, roman, stones, empire, private, transportation, development, incas
human, culture, anthropology, cultural, study, anthropologists, nature, society, humans, physical, cultures, studies, societies, comparative, sociology, populations, anthropological, primitive, peoples, behavior
surface, moon, mars, lunar, planet, apollo, viking, spacecraft, orbit, venus, martian, mercury, atmosphere, evidence, polar, earth, found, million, dust, landing
communist, party, stalin, mao, revolution, lenin, soviet, communism, movement, communists, political, leader, economic, cuba, hungary, regime, khrushchev, revolutionary, leadership, workers
silk, fibers, rugs, cotton, fiber, yarn, woven, fabrics, wool, carpets, fabric, warp, weaving, weft, filament, usually, threads, spinning, dyes, cloth
maps, map, scale, geography, distance, surface, mapping, shown, ground, drawn, using, ed, units, value, statistical, lines, surveying, survey, topographic, distribution
electrons, electron, charge, metals, valence, plasma, metal, tube, ions, atom, tubes, microscope, electrical, atoms, cathode, positive, semiconductor, charged, band, anode
journalism, news, newspapers, newspaper, press, media, magazines, journalists, journalistic, freedom, television, radio, editorial, magazine, daily, public, opinion, society, published, stories
iowa, river, mississippi, settlement, land, des, sq, recent, farm, located, ft, indians, cities, soils, legislature, larger, population, republican, agriculture, agricultural
film, films, cinema, motion, hollywood, industry, picture, decade, movies, visual, pictures, directors, series, television, soviet, filmmakers, movie, edison, sound, produced
canal, panama, canals, ft, construction, suez, built, locks, waterway, isthmus, transportation, panamanian, erie, treaty, lake, tons, completed, inland, commercial, level
jesus, son, god, mark, luke, christ, historical, matt, evidence, testament, jewish, mary, gospels, christian, church, title, birth, earthly, father, christians
king, son, louis, royal, charles, succeeded, throne, kings, kingdom, dynasty, reign, father, philip, england, edward, jordan, brother, died, duke, queen
horse, racing, races, horses, lb, kg, track, race, cm, sport, held, run, events, weight, popular, dog, thoroughbred, breed, sports, club
fishes, fish, body, bladder, bony, gas, blood, oxygen, sharks, gills, scales, fins, water, found, freshwater, pressure, air, called, subclass, tail
people, suicide, million, literacy, age, traditional, spoken, lives, living, society, themselves, live, person, adolescence, youth, traditionally, western, result, speak, feel
engine, engines, steam, wheels, fuel, speed, piston, wheel, diesel, cylinder, brake, transmission, trucks, shaft, car, gear, machine, power, mechanical, rear
henry, england, son, richard, edward, duke, elizabeth, thomas, ford, harrison, catherine, sir, died, anne, fielding, mary, reformation, wars, exploration, newman
vermont, champlain, lake, hampshire, valley, st, ft, mountain, largest, products, connecticut, rural, river, town, green, massachusetts, manufacturing, land, burlington, income
political, politics, economic, rule, parties, sovereignty, ideology, society, machiavelli, republic, democratic, democracy, authority, sovereign, power, notion, leaders, hobbes, internal, view
italy, italian, sicily, rome, naples, sardinia, alps, milan, mussolini, peninsula, florence, roman, venice, tuscany, southern, europe, plain, italians, papal, kingdom
british, britain, colonies, americans, sir, england, howe, parliament, troops, colonists, clinton, empire, colonial, london, minister, victory, royal, canada, lord, gen
poor, poverty, programs, families, income, times, persons, million, aid, family, children, welfare, cash, support, food, assistance, services, care, living, elderly
mathematics, geometry, study, mathematical, line, algebra, calculus, analysis, mathematicians, plane, parallel, geometries, lines, applied, arithmetic, euclidean, set, spherical, analytic, mathematician
saint, christian, paul, minnesota, byzantine, monastic, christ, cross, day, peter, mosaic, medieval, thomas, feast, st, mosaics, brunswick, churches, founded, cathedral
maine, sq, coast, region, portland, coastal, manufacturing, income, products, largest, major, public, rivers, growth, economy, lakes, sector, tourism, east, value
rome, roman, romans, caesar, senate, italy, carthage, emperor, pompey, reign, empire, republic, punic, latin, marcus, augustus, defeated, hannibal, emperors, civil
sodium, potassium, carbonate, compounds, production, chloride, quantities, metal, salt, silicate, produced, chlorine, hydroxide, element, ions, mercury, soda, water, ion, detergents
drama, plays, comedy, tragedy, dramatic, play, theater, popular, characters, playwrights, playwright, ibsen, theatre, shakespeare, comic, character, movement, success, strindberg, dramatist
railroads, rail, railroad, lines, cars, freight, built, mileage, united, passenger, gauge, transportation, track, service, locomotives, traffic, steam, total, federal, locomotive
industry, production, manufacturing, automobile, products, ford, firms, cars, industrial, industries, motor, united, produced, manufacturers, major, manufacture, market, chemicals, companies, sugar
theater, stage, actors, theaters, plays, theatre, acting, actor, productions, director, scenery, settings, theatrical, spectators, production, set, performed, costumes, roman, orchestra
germany, german, berlin, chancellor, federal, hitler, republic, germans, communist, major, democratic, powers, school, free, industrial, party, poland, princes, prussia, treaty
fruit, fruits, seeds, seed, fleshy, grown, citrus, edible, chilling, dry, tropical, single, tree, flower, nut, usually, temperatures, classified, nuts, include
america, central, caribbean, countries, continent, american, tropical, coast, latin, region, interior, canada, colombia, rates, pacific, shield, western, european, portion, plains
national, parks, park, established, historic, visitors, conservation, montana, features, establish, wildlife, preservation, resources, service, flag, heritage, including, protected, governments, preserving
ballet, dancer, leg, ballets, dance, position, pas, front, foot, literally, company, feet, de, step, choreographer, performed, dancers, steps, technique, diaghilev
ireland, irish, northern, gaelic, ulster, parliament, dublin, protestant, catholics, republic, catholic, rule, led, prime, protestants, celtic, minister, british, society, home
shuttle, crew, flight, mission, commander, space, satellite, challenger, engines, orbit, launched, discovery, launch, six, main, ft, astronaut, atlantis, program, columbia
opera, operas, musical, composers, italian, composer, paris, style, mozart, wagner, la, verdi, orchestra, operatic, dramatic, richard, arias, comic, wrote, symphonies
trees, forest, forests, tree, wood, species, management, grow, stand, conditions, forestry, leaves, resources, cutting, conservation, pine, tropical, roots, natural, products
soviet, party, union, central, republics, siberia, gorbachev, russian, republic, eastern, economic, committee, asia, moscow, mikhail, largest, western, collective, communist, ukraine
chemical, agents, biological, warfare, chemistry, chemicals, substances, research, gas, toxic, nerve, chlorine, physical, using, weapons, gases, substance, systems, produce, include
birds, feathers, species, bird, nest, usually, flight, female, eggs, male, wings, food, fly, move, breeding, body, ducks, legs, wing, nests
sleep, dreams, brain, dreaming, night, research, stage, body, disorders, dream, activity, person, time, rhythms, sleeping, stages, chemicals, biological, individual, normal
hawaii, islands, sq, hawaiian, honolulu, island, ft, land, sugarcane, ocean, united, million, leading, governor, japanese, volcanoes, history, natural, primarily, chief
russian, russia, moscow, peter, ivan, soviet, alexander, lenin, society, peasants, cultural, nicholas, aleksandr, western, petersburg, tsar, kiev, bolsheviks, vladimir, reign
acid, vitamin, vitamins, deficiency, sulfur, calcium, amounts, body, diet, requirements, metabolism, iron, minerals, liver, occur, intake, acids, nutrition, iodine, preparations
unions, union, labor, workers, employees, industrial, employers, management, bargaining, craft, collective, agreement, employer, federation, trade, local, membership, act, employee, strike
information, devices, data, storage, databases, tape, electronic, computer, memory, database, privacy, access, telephone, systems, disks, libraries, stored, encyclopedia, technology, capacity
german, von, germanic, friedrich, johann, bismarck, germany, otto, wilhelm, emperor, prussia, munich, hans, imperial, goethe, princes, brought, karl, durer, time
jackson, van, buren, federal, adams, andrew, clay, bank, secretary, martin, administration, tariff, frontier, presidency, indians, calhoun, office, presidential, carolina, american
sweden, swedish, finland, stockholm, norway, finnish, scandinavia, party, iron, scandinavian, minister, total, age, baltic, prime, mining, largest, trade, national, russia
language, linguistics, linguistic, grammar, study, applied, linguists, relation, meaning, communication, latin, sentences, languages, sanskrit, phonetic, word, studies, past, sounds, hebrew
solar, sun, planets, satellites, planet, jupiter, earth, orbits, neptune, comets, bodies, uranus, times, comet, inner, observed, outer, saturn, orbit, planetary
oxygen, oxides, dioxide, carbon, organisms, atmosphere, water, reaction, chemistry, processes, reactions, iron, air, oxide, oxidation, occur, principally, complex, metallic, formed
nevada, desert, silver, mining, mountain, include, las, vegas, land, sq, river, service, ft, carson, tourism, major, lake, colorado, residents, pine
middle, ages, region, syria, israel, turkey, iran, major, east, medieval, eastern, significant, throughout, developed, yemen, egypt, arabia, desert, countries, times
surgery, surgical, training, surgeons, medical, surgeon, patient, diseases, major, deals, operation, structures, body, blood, treatment, division, hospital, patients, vessels, plastic
bees, workers, queen, ants, pollen, nest, colony, nectar, eggs, larvae, colonies, honey, wasps, nests, bee, cells, food, queens, wax, species
kentucky, louisville, lexington, eastern, include, sq, manufacturing, cumberland, mining, natural, agriculture, cities, bluegrass, coal, public, river, ft, established, western, located
tests, college, test, testing, scores, students, educational, performance, results, achievement, standardized, grades, mental, psychological, data, measurement, norm, score, oral, sometimes
food, foods, agricultural, protein, products, cooking, nutrition, diet, processing, nutrients, meat, supply, developing, consumer, additives, land, grain, dietary, vegetables, agriculture
accounting, financial, balance, accounts, account, earnings, business, statement, assets, equity, expense, owners, statements, management, value, firm, internal, total, cash, sheet
international, nations, countries, governments, council, trade, foreign, security, peace, organizations, organization, economic, principles, assembly, decisions, law, disputes, established, switzerland, domestic
process, processes, production, steel, method, time, produced, control, produce, leather, frontier, developed, techniques, invention, variable, furnace, using, reversible, irreversible, requires
congress, house, senate, committees, committee, congressional, party, majority, bills, budget, senators, bill, leader, legislative, policy, executive, debate, minority, legislation, staff
video, television, home, picture, color, videotape, digital, electronic, devices, images, tape, cameras, systems, developed, camera, pictures, recording, broadcast, create, production
metric, units, unit, length, measurement, measure, weights, meter, measures, standards, international, base, defined, measurements, kilogram, mass, derived, scientific, terms, time
florida, miami, include, central, chief, atlantic, near, coast, gulf, everglades, county, spanish, highlands, average, fort, especially, climate, black, spain, indians
salyut, soyuz, space, launched, station, aboard, crew, mir, days, earth, cosmonauts, soviet, returned, cosmonaut, orbit, craft, docked, remained, spacecraft, module
amino, code, protein, bases, sequence, acids, base, genetic, acid, chain, virus, molecule, viruses, nucleotides, proteins, synthesis, cell, nucleotide, strand, enzyme
wisconsin, milwaukee, green, lake, river, sq, bay, superior, prairie, northern, michigan, county, ft, minnesota, leading, time, lakes, du, mississippi, madison
system, systems, nervous, planets, plane, coordinate, coordinates, direction, star, based, little, provided, complex, symmetry, means, thermodynamics, bodies, functions, spacecraft, planetary
aluminum, metal, alloys, alumina, bauxite, cells, heat, magnesium, industry, production, silicon, reduction, current, strength, properties, molten, name, casting, zinc, copper
spanish, latin, peru, inca, argentina, independence, jose, incas, chile, labor, cuba, portuguese, colombia, bolivia, spain, administrative, juan, puerto, bolivar, spaniards
hydrogen, gas, nitrogen, liquid, acid, gases, metals, chlorine, ammonia, natural, fuel, helium, acids, manufacture, chloride, deuterium, compounds, sulfur, petroleum, catalyst
turkey, turkish, ottoman, eastern, empire, republic, cyprus, bulgaria, black, turks, anatolia, aegean, mediterranean, romania, east, central, treaty, greece, istanbul, european
aircraft, wing, flight, landing, aviation, plane, air, jet, airplane, commercial, lift, craft, fuselage, wings, military, speed, flying, research, fighter, planes
crime, criminal, police, crimes, punishment, percent, prison, acts, behavior, status, committed, trial, offenses, enforcement, criminals, act, imprisonment, justice, persons, jury
lake, lakes, minnesota, basins, ontario, deposits, glacial, glacier, created, switzerland, salt, nile, basin, margin, erosion, formed, valley, drainage, sq, numerous
science, scientific, theory, knowledge, astronomy, revolution, galileo, sciences, observations, universe, ideas, motion, technology, discovery, nature, development, scientists, newton, laws, research
company, corporations, companies, corporation, business, industries, management, competition, control, mergers, corporate, sales, firms, advertising, concentration, monopoly, market, regulation, act, organization
property, land, real, personal, ownership, private, frontier, person, owner, transfer, business, trust, common, defendant, plaintiff, example, contract, negligence, estate, buildings
jersey, delaware, coastal, county, urban, atlantic, location, sq, income, wildlife, river, growth, newark, land, education, philadelphia, agriculture, northern, iron, resulted
behavior, learning, patterns, behavioral, animal, reproductive, example, human, male, individual, males, evolutionary, nest, success, genetic, species, neural, mechanisms, individuals, offspring
elements, element, atomic, table, chemical, properties, periodic, weights, weight, uranium, compounds, discovered, found, isotopes, metals, substances, radioactive, chemistry, sulfur, produced
genes, gene, genetic, chromosome, genetics, chromosomes, hereditary, sex, mendel, organisms, pair, pairs, mutation, inheritance, traits, cells, alleles, recessive, offspring, called
physics, newton, physicists, physical, mechanics, motion, mechanical, theory, electricity, ether, research, bodies, descartes, phenomena, electrical, theoretical, laws, forces, mathematical, matter
england, scotland, london, wales, kingdom, britain, scottish, ireland, coast, counties, welsh, lowland, hills, manchester, industrial, church, highlands, scots, norman, islands
milk, dairy, cattle, cheese, cows, cow, production, fat, kg, lb, products, beef, meat, cream, produce, breeding, breeds, protein, butter, added
idaho, national, river, soils, snake, mining, montana, major, territory, mountain, economic, white, gold, northern, rivers, near, commercial, value, developed, throughout
rocket, rockets, missiles, thrust, propellant, developed, ft, range, propellants, liquid, chamber, missile, ballistic, propulsion, vehicle, exhaust, engine, impulse, usually, guidance
league, baseball, base, ball, series, home, players, leagues, nations, major, hit, pitcher, teams, plate, strike, runs, ed, career, bat, nine
poetry, poems, poet, verse, poem, poetic, poets, eliot, yeats, prose, meter, published, love, wrote, robert, epic, ed, literary, pound, meaning
waves, wave, frequency, carrier, wavelength, electromagnetic, amplitude, periods, frequencies, radio, medium, receiver, wind, interference, beach, antenna, range, phase, signal, motion
reaction, reactions, enzyme, enzymes, chemical, products, equilibrium, product, rate, fusion, catalyst, plasma, reactants, molecules, formation, catalysts, energy, chlorophyll, activation, change
teachers, teaching, students, teacher, student, learning, school, programs, salaries, secondary, elementary, courses, conditions, example, method, computers, instruction, methods, degree, teach
french, jean, revolution, france, louis, algeria, francois, jacques, influence, morocco, pierre, quebec, established, republic, romance, le, helped, italian, trans, civil
wilson, woodrow, secretary, peace, president, act, won, league, college, congress, william, program, princeton, progressive, sought, university, david, treaty, reform, labor
fungi, produce, class, surface, produced, spores, reproduction, includes, algae, grow, fruiting, nuclei, cause, sexual, mushrooms, species, cell, single, haploid, plants
banks, bank, deposits, banking, loans, countries, federal, reserve, savings, commercial, loan, institutions, deposit, money, united, foreign, example, reserves, business, securities
galaxies, galaxy, hubble, stars, distance, distances, clusters, million, spirals, spiral, objects, red, elliptical, cepheids, galactic, determined, universe, cluster, milky, times
animals, animal, humans, cattle, wild, organisms, zoos, domesticated, sheep, anatomy, zoo, ed, grass, infectious, meat, found, dogs, organism, plants, virus
time, million, record, fossils, age, geologic, marine, fossil, scale, times, late, events, cretaceous, ago, day, appeared, precambrian, strata, jurassic, apparent
congress, federal, united, million, president, british, national, nation, american, americans, colonies, england, white, western, established, southern, soviet, presidency, act, reagan
housing, urban, construction, home, homes, units, conditions, federal, countries, city, rural, private, built, development, households, planning, act, programs, land, residents
oil, gas, petroleum, natural, production, tanker, tankers, pipeline, crude, companies, products, prices, fuel, pipelines, countries, refining, oils, consumption, transport, pipe
gold, jewelry, silver, stones, diamonds, mining, found, set, designs, ore, olympic, jewels, metal, style, fashion, styles, metals, quantities, beads, arts
measurement, measurements, measured, length, measuring, errors, current, based, quantity, error, systematic, instrument, determined, methods, random, balance, measure, distance, meter, force
game, ball, football, team, play, soccer, professional, teams, players, played, line, sport, rules, yd, goal, field, tennis, player, basketball, games
sq, mi, km, major, republic, ft, capital, total, principal, distribution, largest, coast, official, live, economy, nation, annual, rural, independence, mm
instruments, instrument, strings, keyboard, musical, wind, string, organ, played, orchestra, piano, orchestral, usually, percussion, various, stringed, performance, include, plucked, tone
sea, mediterranean, navigation, port, marine, level, naval, deep, ports, coast, waters, seas, navy, land, harbor, coral, corals, below, position, depth
lincoln, abraham, slavery, douglas, thomas, nebraska, secretary, republican, died, todd, vols, illinois, william, constitution, whig, union, president, military, american, indiana
stone, tools, ago, homo, evidence, million, humans, found, sites, australopithecus, primates, apes, paleolithic, fossil, erectus, monkeys, fossils, earliest, remains, human
pregnancy, fetal, birth, fetus, labor, mother, weeks, common, maternal, uterus, women, due, risk, baby, blood, births, placenta, begins, delivery, increased
rocks, igneous, volcanic, plutonic, deposits, sedimentary, rock, metamorphic, formed, origin, contain, bodies, common, melting, mineral, processes, types, quartz, feldspar, occur
greece, athens, greek, greeks, aegean, mountains, sparta, civilization, little, turkish, cities, islands, macedonia, period, corinth, bulgaria, george, northern, crete, country
mexico, mexican, gulf, city, sierra, spanish, colonial, centers, santa, albuquerque, plains, rio, fe, found, grande, madre, petroleum, near, southern, peninsula
public, regulation, federal, opinion, private, libraries, laws, welfare, commission, regulatory, act, protection, relations, subject, interstate, library, agencies, policy, issues, regulations
indiana, indianapolis, river, central, michigan, lake, near, ohio, largest, region, sq, indian, territory, billion, county, land, major, transportation, natural, harrison
service, postal, airports, civil, services, mail, post, private, commercial, airport, routes, established, federal, systems, major, airlines, police, office, facilities, letter
porcelain, pottery, wares, potters, produced, glaze, ancient, white, figures, techniques, clay, chinese, developed, ceramics, decoration, ware, type, earthenware, ceramic, painted
photography, photographers, pictures, photographs, photographic, camera, picture, artists, photograph, cameras, portraits, evans, artistic, commercial, medium, view, straight, especially, invention, frank
island, rhode, puerto, zealand, rico, bay, providence, newport, mainland, largest, offshore, colony, tourism, cyprus, commonwealth, trade, newfoundland, coast, rican, settlement
church, churches, christian, catholic, roman, orthodox, protestant, byzantine, christ, england, bishops, christianity, reformation, religious, bishop, episcopal, worship, constantinople, luther, catholics
death, dying, suicide, person, son, father, legal, die, penalty, died, murder, dead, repr, result, irreversible, following, punishment, funeral, patient, alexander
field, magnetic, plasma, magnetism, electric, fields, magnet, magnetization, moments, direction, current, permanent, poles, iron, lines, susceptibility, charged, ions, geomagnetic, dipole
gothic, begun, cathedral, architecture, romanesque, paris, windows, churches, cathedrals, sculpture, style, late, reims, chartres, century, france, church, height, interior, vaulting
tennessee, mississippi, nashville, east, memphis, major, governor, ft, andrew, river, mountains, surface, near, territory, elected, largest, education, basin, civil, public
river, flows, rivers, mississippi, jordan, course, channel, discharge, basin, valley, stream, delta, tributaries, dams, hydroelectric, mouth, flow, navigable, congo, hudson
literature, literary, writers, poets, criticism, written, poetry, prose, tradition, movement, writing, african, poet, wrote, critics, realism, authors, tales, stories, fiction
france, paris, louis, including, mediterranean, england, republic, wars, europe, overseas, mitterrand, charles, socialist, departments, italy, rhone, hitler, european, roman, gaul
de, la, paris, louis, jean, gaulle, spanish, juan, duh, pierre, le, madame, wrote, marie, henri, love, duc, du, lope, francois
particles, particle, charge, quarks, fundamental, interactions, electric, protons, proton, spin, decay, strong, mass, nucleus, matter, charged, composed, quark, interaction, observed
sentence, structure, meaning, example, words, object, sentences, word, deep, syntactic, structures, rules, semantic, surface, clause, set, verb, subject, grammatical, semantics
wines, wine, grape, california, white, red, quality, grapes, vineyards, produces, alcohol, reds, fermentation, production, dry, bordeaux, whites, sugar, rose, table
iron, steel, ore, tons, furnace, furnaces, mills, mill, production, scrap, million, steels, ft, rails, blast, deposits, produced, molten, bessemer, carbon
confederate, army, lee, union, grant, civil, davis, southern, johnston, armies, command, south, jackson, confederacy, forces, finally, richmond, northern, lincoln, virginia
mass, media, advertising, print, einstein, electronic, communications, television, medium, communication, warner, audience, advertisers, gravity, masses, entertainment, gravitational, motion, content, technologies
furniture, style, decorative, forms, wood, pieces, decoration, carving, furnishings, roman, chair, carved, form, techniques, popular, rococo, influence, painted, tables, chairs
force, forces, military, newton, object, motion, distance, charge, gravity, equal, corps, wind, speed, police, friction, units, direction, command, acceleration, gravitational
front, offensive, british, german, battle, august, russian, november, austrian, russia, artillery, italian, germans, french, september, october, allied, gen, turkish, losses
god, divine, faith, theology, christian, testament, notion, islam, bible, personal, concept, worship, religion, reality, moral, nature, ultimate, koran, religious, unity
age, bronze, culture, iron, civilization, crete, millennium, neolithic, changes, stone, aegean, mainland, mycenaean, aging, burial, pottery, produced, knossos, bronzes, minoan
united, canada, million, nations, countries, immigrants, puerto, immigration, nation, total, annual, americans, including, half, western, eastern, rockies, approximately, levels, considerable
louisiana, mississippi, orleans, petroleum, spanish, gulf, soils, include, prairies, territory, rice, red, natural, value, elected, ed, east, settlement, salt, southwest
missouri, louis, mississippi, saint, region, st, nebraska, plains, nation, economic, rivers, largest, ft, northwest, river, metropolitan, billion, leading, counties, university
architecture, central, built, romanesque, architectural, islamic, baroque, forms, stone, walls, complex, persian, wall, royal, gardens, northern, palace, garden, palaces, churches
education, schools, educational, universities, secondary, taught, knowledge, children, primary, society, established, public, colleges, set, founded, western, philosophy, formal, view, scholars
washington, george, columbia, mount, seattle, puget, western, vernon, major, army, commander, troops, including, lee, fort, cascades, continental, philadelphia, basin, congress
folk, traditions, songs, tradition, peasant, culture, rural, painted, pottery, objects, popular, centuries, outstanding, wooden, particularly, found, throughout, song, especially, region
intelligence, collection, military, secret, operations, human, agency, soviet, signals, activities, strategic, responsible, evaluation, reconnaissance, raw, include, organizations, information, espionage, nations
stock, market, trading, exchange, markets, trade, price, contract, shares, corporation, index, account, customer, clearing, investors, stocks, prices, customers, exchanges, sell
oklahoma, territory, tribes, western, lands, indians, eastern, sq, central, plains, arkansas, indian, mountains, panhandle, near, petroleum, river, five, settled, cattle
religious, religion, religions, experience, primitive, community, sacred, belief, holy, traditions, rituals, freedom, tradition, approach, acts, cultures, complex, example, faith, repr
pollution, wastes, waste, environmental, control, pollutants, industrial, effects, environment, disposal, toxic, noise, cause, treatment, solid, damage, materials, chemicals, air, sources
cancer, malignant, therapy, cells, cancers, breast, tumor, disease, agents, normal, tissue, radiation, human, benign, viruses, patient, treatment, skin, cell, related
player, word, game, players, letter, object, play, letters, cards, played, words, five, card, person, games, name, chess, hand, square, list
writing, systems, signs, alphabet, letters, sign, represent, words, phonetic, sumerian, latin, objects, egyptian, word, ancient, semitic, script, cuneiform, written, vowel
austria, austrian, vienna, hungary, emperor, roman, empire, europe, danube, hungarian, switzerland, habsburg, alps, eastern, holy, italy, provinces, prussia, netherlands, socialist
income, tax, act, rate, corporate, rates, pay, taxes, amount, investment, personal, revenue, reform, incentive, structure, payments, corporations, taxed, credit, raise
kenya, highlands, lake, ft, coastal, east, african, total, victoria, rift, africa, trade, british, principal, valley, uganda, tanzania, eastern, coffee, union
